Skupina,Téma,Téma ID,Země,Kód,Web,Doména,Popis,Typ,Přístup,Data,Zdroj,Návštěvy,Unikátních URL,Poslední návštěva,URL,ID,Ověřeno
Geodata,Geoportály a NSDI,geoportal,Rakousko,AT,INSPIRE Österreich,inspire.gv.at,"Rakouská národní infrastruktura prostorových dat — koordinační místo pro INSPIRE, popis povinných témat a odkazy na poskytovatele ve spolku i v zemích. Rozcestník, ze kterého se dostaneš k tomu, kdo kterou vrstvu v Rakousku vede",official,open,none,reference,,,,https://www.inspire.gv.at/,at-inspire,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Rakousko,AT,Geometadatensuche INSPIRE,geometadatensuche.inspire.gv.at,"Katalog metadat rakouských prostorových dat — hledání napříč spolkovými i zemskými poskytovateli s přímými odkazy na WMS a WFS služby. Praktická cesta k datům spolkových zemí, aniž by se musel obcházet devět zemských geoportálů",official,open,ogc,reference,,,,https://geometadatensuche.inspire.gv.at/,at-geometadatensuche,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Belgie,BE,geo.be,geo.be,"Belgický federální geoportál — katalog prostorových dat federace i regionů s metadaty a odkazy na služby. Belgie nemá jednu geodatovou správu: geodata vedou převážně regiony, tohle je federující vrstva nad nimi",official,open,ogc,reference,,,,https://www.geo.be/,be-geo-be,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Belgie,BE,Geopunt (Vlaanderen),geopunt.be,"Geoportál Flander — nejbohatší z belgických regionálních zdrojů: územní plány, adresy, budovy, ortofota, půda a životní prostředí, s WMS/WFS a hromadným stahováním na download.vlaanderen.be",regional,open,ogc,reference,,,,https://www.geopunt.be/,be-geopunt,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Belgie,BE,Géoportail de la Wallonie,geoportail.wallonie.be,"Geoportál Valonska — katalog regionálních prostorových dat s mapami, službami a stahováním přes geodata.wallonie.be. Valonsko a Flandry vedou geodata odděleně a v odlišných modelech, společná belgická vrstva pro ně neexistuje",regional,open,ogc,reference,,,,https://geoportail.wallonie.be/home.html,be-geoportail-wallonie,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Belgie,BE,BruGIS (Brusel),gis.urban.brussels,"Geografický informační systém bruselského regionu — územní plánování, urbanistická povolení, chráněné památky a katastrální podklad. Třetí z belgických regionálních geoportálů; Brusel má vlastní stavební právo",regional,open,ogc,reference,,,,https://gis.urban.brussels/brugis/,be-brugis,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Bulharsko,BG,INSPIRE Bulharsko,inspire.egov.bg,"Bulharský národní geoportál INSPIRE — katalog metadat a služeb napříč úřady, s odkazy na WMS a WFS. Vstupní bod k bulharským prostorovým datům",official,open,ogc,reference,,,,https://inspire.egov.bg/,bg-inspire,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Chorvatsko,HR,Geoportal DGU,geoportal.dgu.hr,"Chorvatský národní geoportál — katastrální mapa, ortofota, výškopis, adresy a INSPIRE vrstvy jako prohlížečka i WMS/WFS. Vstupní bod k chorvatským geodatům",official,open,ogc,reference,,,,https://geoportal.dgu.hr/,hr-geoportal,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Kypr,CY,Cyprus Geoportal,geoportal.gov.cy,"Kyperský národní geoportál provozovaný pozemkovým a zeměměřickým úřadem — katalog prostorových dat, mapové služby a INSPIRE metadata pro území pod kontrolou Kyperské republiky",official,open,ogc,reference,,,,https://www.geoportal.gov.cy/,cy-geoportal,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Česko,CZ,Geoportál ČÚZK,geoportal.cuzk.gov.cz,"WMS/WFS/WMTS, ZABAGED, Ortofoto ČR, DMR 5G/DMP 1G, Data50/200. Klíčový CZ zdroj",official,open,ogc,history,3,3,2026-08-27,https://geoportal.cuzk.gov.cz/,cz-geoportal-cuzk,2026-08-28
