id,url,Zdroj,Návštěvy,Unikátních URL,Poslední návštěva
cz-ares,https://ares.gov.cz/,history,7,5,2026-08-05
cz-cbre,https://www.cbre.cz/,history,1,1,2026-06-16
cz-csu,https://csu.gov.cz/,history,2,1,2026-06-16
cz-cuzk-dalkovy-pristup-do-kn,https://katastr.cuzk.gov.cz/,history,36,14,2026-08-20
cz-cuzk-rozcestnik,https://www.cuzk.gov.cz/,history,9,5,2026-08-20
cz-cuzk-zadosti,https://zadosti.cuzk.gov.cz/,history,4,3,2026-08-06
cz-dopravni-info-ndic,https://dopravniinfo.gov.cz/,history,9,3,2026-08-26
cz-flat-zone,https://www.flatzone.cz/,history,5,4,2026-08-14
cz-geoportal-cuzk,https://geoportal.cuzk.gov.cz/,history,3,3,2026-08-27
cz-geoportal-rsd,https://geoportal.rsd.cz/web,history,2,1,2026-08-26
cz-golemio-api,https://api.golemio.cz/,history,39,21,2026-08-26
cz-golemio-praha,https://golemio.cz/,history,4,2,2026-08-26
cz-hlidac-statu,https://www.hlidacstatu.cz/,history,23,11,2026-08-20
cz-hzs-kralovehradecky-udalosti,https://udalostikhk.hzscr.cz/,history,5,3,2026-08-24
cz-hzs-vysocina-webohled,https://webohled.hasici-vysocina.cz/,history,9,5,2026-08-24
cz-in-pocasi,https://www.in-pocasi.cz/,history,1,1,2026-08-17
cz-investigace-cz,https://www.investigace.cz/,bookmarks+history,0,1,2026-08-27
cz-isir,https://isir.justice.cz/,history,5,3,2026-08-11
cz-mapy-com-rest-api,https://developer.mapy.com/,bookmarks+history,0,1,2026-08-27
cz-meteoradar-cz,https://www.meteoradar.cz/,history,2,2,2026-06-26
cz-ministerstvo-dopravy,https://md.gov.cz/,history,4,1,2026-06-18
cz-nahlizeni-do-kn,https://nahlizenidokn.cuzk.gov.cz/,history,9,5,2026-06-25
cz-nais-api,https://api-nais.dopravniinfo.cz/,history,4,2,2026-08-26
cz-narodni-katalog-otevrenych-dat,https://data.gov.cz/,history,2,2,2026-08-27
cz-obchodni-rejstrik,https://or.justice.cz/,history,16,6,2026-08-05
cz-pid,https://pid.cz/,history,1,1,2026-08-25
cz-portal-krizoveho-rizeni-stc-kraje,https://pkr.kr-stredocesky.cz/,history,16,12,2026-08-24
cz-progresus-osint,https://osint.cloud.progresus.cz/,history,72,21,2026-08-23
cz-registr-smluv,https://smlouvy.gov.cz/,history,3,2,2026-07-24
cz-rsd-mobilitydata,https://mobilitydata.rsd.cz/,history,27,13,2026-08-27
cz-sgi-nahlizeni-do-kn,https://sgi-nahlizenidokn.cuzk.gov.cz/,history,4,1,2026-06-26
cz-situacni-radar-hzsradar,https://situacni-radar.fly.dev/,history,41,9,2026-08-27
cz-sreality,https://www.sreality.cz/,history,5,3,2026-06-16
cz-vomaste-cz,https://vomaste.cz/,history,1407,402,2026-08-15
eu-north-data,https://www.northdata.com/,history,22,11,2026-07-22
global-carto,https://carto.com/,history,2,2,2026-08-26
global-common-crawl,https://commoncrawl.org/,bookmarks+history,0,1,2026-08-27
global-deck-gl,https://deck.gl/,history,2,2,2026-08-26
global-geonames,https://www.geonames.org/,history,1,1,2026-08-27
global-leaflet,https://leafletjs.com/,history,1,1,2026-08-26
global-maltego,https://www.maltego.com/,history,2,2,2026-08-05
global-maplibre-gl-js,https://maplibre.org/,history,1,1,2026-08-26
global-natural-earth,https://www.naturalearthdata.com/,history,1,1,2026-08-27
global-nominatim,https://nominatim.org/,bookmarks+history,0,4,2026-08-27
global-observable,https://observablehq.com/,bookmarks+history,0,1,2026-08-27
global-openalex,https://openalex.org/,history,9,6,2026-08-11
global-openstreetmap,https://www.openstreetmap.org/,history,34,29,2026-08-24
global-postgresql,https://www.postgresql.org/,bookmarks+history,1,2,2026-08-27
global-sigma-js-sigma-layer-maplibre,https://www.sigmajs.org/,history,129,66,2026-08-01
global-uoft-map-and-data-library,https://mdl.library.utoronto.ca/,history,1,1,2026-08-27
global-world-factbook-archive,https://worldfactbookarchive.org/,history,6,3,2026-08-27
us-sfpd-crime-dashboard,https://www.sanfranciscopolice.org/stay-safe/crime-data/crime-dashboard,history,1,1,2026-08-27
